identifier,first_name,last_name,date_of_birth,address,city,zipcode,state,ssn,creditor,account,current_balance,sale_price
1032fe6b7efa998a3e97092e9b686944,Nicole,Cooper,03/14/1939,07114 Christopher Tunnel,South Davidville,15917,KY,365-74-9772,JCB 16 digit,ZDAV4266689139301,238.76,1.46
ffebe08a8ccd21485109694954560d0a,Cathy,Larsen,04/26/1907,24930 Brown Square Suite 013,Kaiserview,94027,AZ,353-01-6521,Mastercard,TOVU4797322258378,2426.06,11.24
333a74052c4821f8a9f77107d1872486,Taylor,Rodriguez,03/09/1970,31784 Singh Rest,Port Teresamouth,38566,AL,454-78-4006,Mastercard,DABD7886140163444,554.68,2.82
8d357665eded53ea3c41169487c7a040,Melissa,Frazier,12/15/1911,3922 Nicholson Lane,North Jennifer,53182,KY,289-42-6865,JCB 15 digit,JGCZ8179312780059,4324.99,30.62
3690999867757ac7f7eff0ae2127dc06,Carrie,Lopez,01/18/1974,668 Smith Rest Apt. 012,North Melissaton,54586,IL,836-16-6161,JCB 15 digit,FGUH7774512223426,6172.64,39.88
2501540e0174674ee2ec2a03df132376,Joshua,Waters,11/08/1989,49721 Melvin Rue Suite 664,New Johnnymouth,54506,IA,170-35-7995,VISA 16 digit,ONFQ1594647518077,7634.07,37.72
f74591be0ed61242396afdf4dd916ca2,Joyce,Andersen,03/16/1958,0535 Kristina Roads,Lake Sophia,97549,VT,391-22-2441,American Express,LJSL7278264117886,5685.09,44.74
3d87072b3138774f05fd8eb1a93d4192,David,Mcclain,02/08/2010,3426 Susan Villages Suite 702,South Markfurt,05975,WV,602-84-6166,Diners Club / Carte Blanche,SSFB5641376628736,1679.83,8.61
2e008dea81fceb57ed2ea8ff25eb9ca3,Penny,Drake,11/26/1916,3224 Elizabeth Summit,Myersberg,24574,SD,363-86-8437,Maestro,DGZP9548980191172,4998.57,36.42
5dde2bce7840556deb9b9157911c8d01,Cheryl,Davis,12/08/1918,16780 Sanchez Orchard,Port Bobby,73609,VA,746-66-9814,JCB 16 digit,TDLJ1237289778878,6197.88,34.05
78fb18b145b906e29961811e01e3e7cd,Rebecca,Cline,09/02/1907,03706 Sara Pine Suite 713,Fishershire,49076,NY,667-61-8112,Maestro,TMXL6992485977444,5111.78,36.3
d4f2a1ca208fd7216ac22b8714c71eac,Herbert,Morrow,05/15/1964,5860 Stephanie Isle,Sherrimouth,25445,RI,317-22-8029,Maestro,PLLJ1426324900620,2641.42,13.27
f68eb90d6adca940ebeb24a2879bd07c,Jeffrey,Martinez,07/29/1961,454 Young Stravenue,Andersonside,15326,NM,047-26-4109,American Express,RHZW2919377749692,1570.34,11.29
624409f351854a1dddaf6352c9f349b2,Mary,Moon,08/05/1937,30871 Brent Flats Apt. 554,Mirandafort,32520,KS,081-15-4656,Discover,WDBO9646489213573,6958.08,46.43
5b9e2c5423f0861eae2635e6b4ae51ec,Nathan,Graham,11/14/1948,08200 King Plaza Apt. 706,West Franceston,92422,DC,586-55-9291,JCB 16 digit,KKDY6882624032318,1831.43,7.47
d91f320a7eb0578161eab495154a0fbf,Joseph,Arnold,04/18/1971,8200 Smith Run Suite 022,Christianfort,23241,CT,249-63-3157,JCB 15 digit,CRUQ3532873419892,1127.62,6.48
78fe217ca78cc6a3936da9ae101f5573,Jessica,Elliott,07/24/1993,72127 Rhodes Route,Lake Matthewmouth,67370,NC,464-11-1543,VISA 16 digit,RKCZ0930630650523,1659.65,6.78
3c427ea860c96832e37b22fee997b2ed,Brian,Hensley,08/02/1991,025 Barton Courts Suite 725,Bradleyton,79041,AL,394-05-5359,Maestro,AMNO2507354694426,515.7,3.41
46030d9501dc3244370e108bad598b5e,Laura,Johnson,09/11/1965,4238 Tammy Station,Katherineside,59571,TX,710-25-9049,VISA 19 digit,UFZN1212791133849,5421.74,33.11
6d016dd8fa739bc10358676671589528,Monique,Walker,04/16/1939,61983 Christina Court,Peterside,25013,OK,204-25-6164,JCB 15 digit,OEPM9284696496698,2855.54,12.4
aa1b15579b1d8c10b541b2c5b0b179ad,David,Bauer,05/15/1905,1894 Brett Mount Apt. 198,West Jessicafort,51708,AR,467-08-1177,VISA 16 digit,JDUZ5361740987855,7164.36,52.05
3594da5f930db7c750caded98c6fc481,Vanessa,Clarke,08/26/1926,94177 Pacheco Common,Barnesmouth,54577,TN,495-69-0900,VISA 16 digit,LANJ6677195665143,2125.29,11.67
3d342df6e30da0348f26956ae747beb6,Matthew,Barron,02/22/2013,77570 James Bypass Suite 725,Lake Chad,90428,MD,329-22-9001,Mastercard,SJKE4778715353964,1931.3,9.77
7c1bd5476a73bc8506c2af8584161064,David,Wood,06/29/1939,29513 Kelly Forges,Brownchester,26813,IL,075-16-1021,JCB 16 digit,LBHD0580685090586,970.39,6.5
21a03f72ecead56ecd41be07e8a104ce,Kaitlin,Gordon,03/31/1961,2787 Edwin View,Lake Monicaport,73186,MT,607-48-9066,Diners Club / Carte Blanche,ENMD7774706927831,3932.9,31.32
80231b5c1118f5e272816084a98eef7f,David,Brown,05/09/1981,819 Isaac Walk Apt. 394,New Carmenborough,11823,IL,793-91-2194,VISA 19 digit,EPBE5278396493330,3505.35,26.63
b3cb252210aada7f7f712fe066461839,Ryan,Cooper,06/05/1921,952 James Burg,Jamesmouth,97189,WY,351-78-4942,VISA 19 digit,XFFS6952096167294,6843.48,34.14
f6c9cf74dcaeb5c4165a723b9714abb1,Victor,Tate,05/01/1909,58656 Morgan Mountains,Larachester,91777,AL,869-47-5335,VISA 16 digit,ZUJO0494294399166,6273.88,32.93
8d9718f1c77e8cfdec7be007d9ae5d18,Maria,Padilla,01/03/1917,359 Hailey Creek Apt. 200,North Georgetown,18253,WY,539-30-2980,VISA 19 digit,BQFK4392399501936,3616.37,22.87
6f04c318f031b1743e1dc33a79ee5ac1,Adam,Allen,02/01/1921,99474 Ramsey Road,Mitchellfort,25119,ME,771-10-3059,Discover,XRWG3067060238534,1317.89,9.08
aaa4e7f0e171374416cc5cb8114d9bdc,Raymond,Garcia,12/19/1917,0186 Gilmore Summit Apt. 247,West Katherinebury,70693,DC,088-72-9486,Diners Club / Carte Blanche,FQND6055763399557,6528.07,28.23
30edbf225eea5cd853ca3bcd715e88e0,Roger,Carter,10/28/1951,5757 Jon Crest,Jonesmouth,81268,SC,195-26-4514,VISA 19 digit,IHVO6405172419377,5956.49,23.97
06dd241a51d3f1d8af343646308d1990,Ryan,Leonard,07/02/1973,564 Michael Islands Suite 022,Jasonbury,45780,NV,757-62-6337,JCB 16 digit,PEHE3663540267873,7734.57,45.89
6c2edcc105dcfc79dae51b13fe1a0911,Jessica,Davis,11/03/2017,650 Dennis Oval,Lake Calvin,81147,CT,223-13-8477,VISA 13 digit,IVMC3412599369699,7679.72,57.79
b0311bd23fedad197578ea0a845e5e98,Benjamin,Stanley,05/08/1977,37036 Cindy Ferry,North Brandyberg,24321,LA,610-81-9285,JCB 16 digit,BMVJ6149196123799,3677.71,28.05
bcd4b0a46342f9063306b3f91cb76f10,Catherine,Smith,08/12/1906,0194 Lawrence Springs Suite 687,West Amychester,78470,WI,894-96-4290,VISA 16 digit,GSSY5356614421851,1164.92,7.9
19a8a73c9dd3216326092c7eb2a94703,Joshua,Lawrence,04/17/2007,7059 Becker Shoal,West Bradfort,75426,NJ,031-49-4088,VISA 13 digit,JOQD4644883692939,5770.3,33.05
b3f8dabe3a9eb28337e5c7190d5497fa,Mark,Quinn,09/29/1959,8705 Gonzalez Crossroad Suite 192,Mooreport,73294,MI,372-11-8665,VISA 13 digit,PXPT7254132153729,458.72,2.36
23c66b2fda77132c3410e91610e4d86d,Leonard,Smith,02/14/2004,84205 Garrett Pine Apt. 478,Lake Rhondaville,99738,NJ,657-20-0969,Discover,UDCQ6423859699316,4783.1,29.11
4b0a269900aa8f52087b85d61e17ec44,Jason,Kim,03/16/1982,0187 Anthony Avenue Suite 101,Dunnborough,49056,IL,559-03-4814,VISA 16 digit,OYCF4588029498882,413.52,1.88
20cb4fe6be75ab7660b979840fdc0b3e,Michael,Hopkins,11/21/1984,5360 Patterson Curve Suite 205,South Sandra,34675,NY,861-85-9150,Diners Club / Carte Blanche,JHKC6240024466038,4917.06,29.4
1424387365b1fb54a157d00993490434,Matthew,Whitney,04/29/1977,5259 Tamara Plaza Apt. 011,North Cheyenne,46571,WY,279-57-7298,VISA 13 digit,FEQF5682380317955,4753.12,36.99
1965185fce38e545637b8f61ed356e3a,Jessica,Johnson,12/11/1932,86121 Matthew Parkways,East Michaelfort,31433,OK,428-47-2859,VISA 19 digit,MTCS2073309328984,7759.44,48.34
d348bd35dea1a07b147efaf5b21e3a9e,John,Martinez,09/05/1965,8226 Amy Corner,Monicaberg,91647,NH,741-09-2978,JCB 15 digit,ENEN2271911266000,7632.15,37.24
8b88bb35459b02b00a656f46444cf647,Shawn,Jones,12/09/2014,533 Brandt Knolls,Christinafort,96615,WA,147-11-5812,VISA 16 digit,EGUJ1555312240056,5210.96,27.54
d90720a40f6cea2657583512e8616e7f,William,Vaughan,09/25/1921,230 Rowland Freeway Suite 362,Alexismouth,38027,AZ,429-12-7538,American Express,BDVX4890505700061,2752.7,21.37
9e6df4ce4f5c21dac19380380d60038b,Dawn,Walker,12/14/1919,67382 Regina Islands,Meganside,66687,MD,874-67-4266,JCB 16 digit,IFXI4664998832396,7274.13,50.44
446ba006aaf7d2a587d455877942fd49,Matthew,Bullock,05/05/1920,99219 Andrea Camp,Schneiderborough,23255,HI,714-73-1160,JCB 16 digit,WOUC3170594655766,3266.14,25.41
70157cc940c2218267387625d0d98b7e,Michele,Graham,01/22/1931,43921 Earl Ports Suite 074,South Jenniferton,43047,RI,595-75-6802,VISA 16 digit,ZLXQ4897746535646,1139.13,5.3
eed84c3ae71615375d33e9e4d11885c1,Crystal,Robertson,09/15/1997,6018 Kelly Spring Apt. 684,Amyborough,95376,MD,740-60-4937,VISA 19 digit,YWLF5403257520893,4518.15,24.65
4ee73c96e69fbe03ddb10cc1fb2bb368,Marcus,Miller,09/16/1980,582 Porter Skyway,Lake Teresa,33670,KY,126-85-1089,Diners Club / Carte Blanche,JZDT5631902937200,5752.94,41.59
f6dcea43f08b370ec5e5910284147b4c,James,Johnson,12/20/1968,10362 Sanchez Parks,Williamsburgh,19131,KS,381-26-3103,VISA 13 digit,KHOD2364657217727,5571.75,29.46
acb9922e56520e6cb24ea30160d80994,David,Simon,05/15/1907,27622 Michael Park Apt. 166,New Michaelhaven,25705,MS,232-90-0546,VISA 19 digit,IEIR6499169292302,284.62,1.23
e25cfea81eafcd061d68654a6243aae1,Trevor,Barry,06/18/1924,50629 Patricia Club Apt. 063,Port David,61390,AK,483-20-0722,JCB 15 digit,YKEE0723464893423,1196.87,8.1
af74172f59815749f9862e1f2f01f573,Jacob,Jordan,01/09/2010,417 Tammy Pass Apt. 643,Martinton,97285,NV,285-15-1970,Discover,KNKV2241269721948,3471.58,27.38
0c944bc72a1b1601bfcff83650661880,Michael,Morgan,08/04/1989,5681 Keith Plaza Suite 309,Erichaven,86855,UT,466-49-8345,American Express,HUAI9280565687746,244.06,1.86
be81706cdcf87135c81b3af818c0e7ae,Sarah,Cooper,12/01/1962,095 Hall Burgs Apt. 037,Christopherburgh,91995,PA,705-43-4666,JCB 15 digit,QXOP6379188835803,3899.05,21.25
ee707537cd95bfbac36fe44d01da541a,Tara,Mills,03/04/1921,84167 Daniel Squares Apt. 767,Jonesfurt,68625,CT,850-14-2852,VISA 19 digit,AGWA8218446324405,1144.5,7.44
882d541f5eaec7ebd15aae5a9082352a,Sheila,Horn,10/15/1949,006 Collins Terrace,Duanemouth,70822,AL,235-46-2665,Maestro,KYES5006976552269,5919.07,36.45
8a8f3b0738115eb8f763f24af9a72a20,Carolyn,Garza,04/08/2012,1229 Hannah Shores,South Aaron,82183,MS,795-23-0454,VISA 16 digit,DXBJ5412562076002,2251.25,17.05
7a0be73a67718c8afa485dbbd9c2e2b2,Tammy,Bishop,07/20/1943,406 Rebecca Isle Apt. 644,New Kenneth,88318,SD,480-07-5116,VISA 16 digit,HENF4125931720514,6789.24,44.52
e91215792ac5afbe9b933565dfae38f7,Felicia,Butler,08/11/1952,8355 Sanchez Spur Apt. 175,East Lindastad,01937,FL,025-07-3191,VISA 16 digit,JQGX7552290873506,1545.77,10.05
10ac18dafb72e7d106a82c8572344758,Katherine,Cole,08/23/1959,4593 James Ports,Taraborough,14221,SD,704-05-2276,Diners Club / Carte Blanche,FJGY2760170267926,3337.73,23.38
0272249d6a11c0cd1f6c0e6919abbd23,Tamara,Mathis,12/19/2008,25638 Rebecca Ways Suite 937,Lake Jeffreystad,76022,PA,423-34-5596,American Express,RNPC7553993950982,1402.77,10.11
8c6175c111a7296f42f1c56306a5e671,Tina,Moore,11/08/1953,374 Megan Garden,Lake Patrick,17553,TX,825-42-8375,VISA 16 digit,ACNJ5991966158333,6143.53,33.72
1fe4f60958da3c01e0ee72745bee2372,Christopher,Summers,01/27/1932,4795 Stewart Trail,South Melindaview,23788,GA,281-33-2520,JCB 16 digit,QMRF9116002404329,4032.31,19.24
fa32c15a9d3c31d6dd449cf5b61cfc1a,Ernest,Perry,02/06/1977,973 Lisa Tunnel,Luismouth,34331,GA,863-41-5750,American Express,BHKH2182218585476,3235.24,20.19
78c39acd89a6e0efaa8da4a3cbb86b2a,Michael,Wolfe,08/10/1979,2031 Amber Ridges Suite 145,North Joshuatown,70308,AZ,504-24-7187,American Express,NYBU4469235176349,1029.42,4.81
ef7d1538c82db4e0decdf5de76d49309,Jennifer,Davis,09/10/1935,22993 Olsen Valley Suite 200,West Kristinetown,55759,MN,312-43-9201,Mastercard,ONQF8594049177769,4586.34,30.1
22d51c9fae4d8c947804ee8879f2586e,Kimberly,Bryant,03/11/1938,6581 Vickie Way,Georgehaven,13974,HI,235-12-6981,VISA 16 digit,CZIK8976495959069,6740.79,52.37
4b994da5c53798f79099c93739b18701,Bob,Thompson,07/31/2006,10466 John Crescent Apt. 785,Martinbury,36223,OH,534-58-3500,Mastercard,UCBD6986781323548,433.73,3.12
bc1314860053f13afa25d0cab642a419,Erin,Johnson,08/18/1997,66569 Carter Meadows,South Jonathanmouth,26106,NM,209-98-5728,Mastercard,SUSD0404798143314,4661.11,36.7
c11dcceb5946647f6790662f58a2bbb4,Shirley,Thompson,06/12/1951,52630 Jim Mountain Suite 610,South Carolynland,16074,ID,108-71-4822,VISA 16 digit,FYAE2292272952669,6679.99,52.02
83b6fe84825cec79b4e423ffb0941bcb,David,Johnson,08/04/2010,0842 Hunt Landing,New Raymondville,37555,TX,195-20-8423,VISA 19 digit,GZRF4305103692935,1119.2,7.49
63c2ba5d4c84423fae53db806e855055,Rachel,Yang,07/19/1911,990 Levine Skyway Suite 771,New Jack,17136,OR,679-88-3431,VISA 16 digit,WEYW2246737934945,1798.44,8.59
2a9f6d96fc98450e6eefbd631888e3a7,Richard,Anderson,09/18/2002,58095 Charles Drive,West Joseph,43000,NM,721-29-2845,Discover,TPSB3872147416963,7123.57,45.1
ca3bcbbb8ddaaa74b351025f023d2719,Joshua,Short,05/29/2007,10959 Richard Plains Apt. 253,Davenportland,53130,GA,558-20-6078,JCB 16 digit,DYAQ9464596566236,6459.58,34.91
7e981d77f8fc17391d5d9491ef848b9b,Sue,Santos,02/18/1916,7963 Nash Walks,South Caitlinshire,49227,CO,683-27-5097,American Express,DBOJ5144349320381,6651.8,32.58
29de4c239e015c5d257f886ecc07ee37,Brandy,Le,01/17/1998,8174 Brown Keys,Hernandeztown,10224,MA,628-53-1353,VISA 16 digit,DAZU9982472368109,3923.89,23.89
ad3ebb174e6f0c33b704454fe20dc411,Kelli,Johnson,04/24/1944,8960 Linda Prairie Suite 490,Reginachester,51413,ND,082-63-1238,Mastercard,PVWL0472656737959,3596.73,17.21
8c0e2fd08652540eebc3e989a28ba795,Julie,Jackson,05/07/1977,77277 Charles Street Apt. 917,Wilsonville,34404,ME,427-43-9320,VISA 19 digit,WNVX7319202512522,4751.15,33.4
3e08e406012f5d0d9adef1efc540467a,Justin,Durham,10/05/2006,4235 Rebecca Isle Apt. 133,New Deborah,56998,UT,476-65-7281,VISA 16 digit,FZFT0945014324773,5704.77,42.67
6343c787ff754821ae1381614bf65565,Robert,Morris,11/01/2015,91763 Taylor Way Suite 128,Pageshire,35530,DE,634-28-3430,Maestro,UORZ0689566784363,4138.69,31.73
64ff7c0f4f63b82efb6568bd61756941,Donna,Barnett,12/18/1994,2562 Corey Square Suite 864,Longfurt,29211,SC,136-01-8473,Maestro,WXNN1570703776334,4123.47,29.48
01245ce7a6c21b4e289f7e736225305f,Amanda,White,12/08/2017,03970 Wilson Locks Apt. 877,Walkerport,65707,OH,085-26-3518,Mastercard,PUVG0981419829525,6650.62,44.74
fa248b1830a913f46c9723cbf3d44435,Jessica,Richmond,12/05/1946,386 Elizabeth Path,Collinstown,18104,CA,009-56-3940,American Express,ZTIF6189551822160,4280.93,31.09
ec70c2c8137bb96ff55d46cc8af43cd0,Michael,Moody,06/04/1965,7303 Pennington Center,North Tinastad,77535,CT,088-42-3180,VISA 16 digit,XDJW5661381018200,97.97,0.76
55e34da3eca011b04dd7df929e436d45,Alexandra,Leon,09/14/1990,989 Pamela Manor,Allentown,62790,RI,307-44-1831,JCB 15 digit,IHXL2295180859319,4199.11,27.01
8d9381a8f777051debc706b93781b607,Sherri,Larson,04/15/1987,5846 Reed Ranch,Martinside,25446,DC,729-56-6295,Mastercard,SHVU2498524968557,1620.47,9.81
e9ea7bc8d7ec722f6a2ec84f75d8a354,Bruce,Oliver,10/04/1917,4104 Joshua Motorway,Courtneyport,96246,WA,052-68-4741,JCB 16 digit,EVKE6731216210005,2917.38,17.86
4512fd76e5df2d9c4542d8ad9cb8b799,Robert,Martinez,09/20/1925,56501 Quinn Lake,Lake Jamieshire,99106,TN,243-88-0387,VISA 16 digit,YJLW5894932338454,7107.56,35.82
990e03ae0c9990abcf73650a43f08336,Margaret,Lopez,09/19/1976,8988 Baker Throughway Apt. 349,West Paulshire,26108,PA,681-66-7696,JCB 16 digit,WTLB1086236489556,5560.77,40.98
e550e083e58655d50f663ce11b7ba507,Antonio,Ochoa,08/13/1924,413 Robert Pines,Port Karen,60236,NJ,708-04-3741,Diners Club / Carte Blanche,NPAI4057769815915,2273.27,12.65
2b5ff3ad9af3a21507f751d89a5afc96,Stephanie,Rodriguez,12/04/1932,990 Carpenter Drives Apt. 187,Timothymouth,17801,AZ,426-53-5278,VISA 16 digit,DTON7513317627120,2628.53,21.01
0ba36912052afc063821d4d0fd60f12c,Kathleen,Carter,05/27/1925,9561 Kaitlyn Square,Harrisonside,15802,LA,328-85-0031,JCB 15 digit,IOGG1054825436219,3691.59,15.07
58bd91d02403b58d32dc5390d73269ad,Eric,Chang,05/02/1920,677 Jackson Street,Kellytown,37011,OK,099-30-8240,Discover,HHHN5080899883014,985.05,5.48
ad7fd11070dbd90b5c7ec2db530e0cf3,Sean,Price,09/10/1940,87729 Spears Walk Apt. 628,Port Dawn,25066,OR,314-05-0914,Mastercard,MYQM0306214415388,2487.83,17.52
eec8a185118ec8ee17c932690e6b6926,Tara,Richard,07/14/1984,018 Williams Rest Suite 124,New Ryan,67981,NC,816-63-8302,Discover,JPRF6364963801888,2928.64,15.35
617267a48d3b4020da618c5f3ac79af9,Joseph,Barnes,04/01/1913,90926 Parrish Ferry Suite 434,Hunterfurt,31960,CO,597-88-0792,VISA 13 digit,YGDA7566655125939,5952.15,25.56
06f81fbbd5540a7b069f3713c35d8d5d,Joshua,Porter,01/15/1944,171 Shaw Cliffs,Rileyberg,62302,MS,897-74-9790,JCB 16 digit,GZOO2360585864937,4006.99,18.18
fbf6f42669f1f51fe8f8cd1d3e555c8a,Zachary,Johnson,12/04/2012,090 Hodges Rue Suite 481,Lake Tammy,92610,NM,129-03-7291,Mastercard,BJVH7363420007172,1759.31,13.27
4d849cf7106e967a44ea3b365e76c50d,Paul,Stevens,10/25/1955,2764 Christopher Viaduct,East Curtisside,36892,CA,550-98-3757,JCB 16 digit,VHRG4584763104316,3349.0,14.29
30b57f087115e9c654c36280bdcb125e,Barbara,Larson,05/14/1908,099 Melanie Springs Suite 557,Allenbury,21770,NV,474-82-3105,American Express,ZOSE7683133041774,2756.78,20.22
9dbcad86e7597fd51dc210e344a76a57,David,Terry,06/24/1991,0444 Brittney Rapids Apt. 329,Roachside,95589,OH,707-81-8757,VISA 13 digit,OTPE5264026665669,2652.25,17.83
761a2cac50334f541f072f331d91cd01,David,Powers,04/28/1944,4842 Ashley Throughway Suite 880,North Mariaburgh,48629,VT,393-14-4048,Diners Club / Carte Blanche,UICK0088984569575,3167.32,20.71
58f3fbeec00e5f7a17f09697770c6a55,Michael,Casey,06/12/1987,7540 John Summit Suite 381,West Anthony,96486,WY,720-01-9668,Diners Club / Carte Blanche,EFJP7220702341375,6155.3,43.04
165f6d40c14f82df168a419ffd389e8f,John,Kim,09/18/1920,8047 Andrea Haven,Jessicaland,20898,WY,174-46-1988,American Express,VKPE8323441396883,3020.1,16.86
84618c379f395e70d01e8276972f63ca,Elizabeth,Parker,07/08/1912,3573 Dalton Knoll Apt. 759,South Michaelville,28845,TN,160-59-9312,JCB 16 digit,PSYV3352378438506,2551.94,19.45
720d8c6e0ae686a77243ad784081d285,Regina,Barnes,08/11/1907,10021 Lowe Common Apt. 002,Annastad,07654,WI,882-39-6752,Diners Club / Carte Blanche,PTAM3707751112693,857.86,6.84
86e98f57062d3f3603202af82e054e8a,Grace,Ashley,04/29/1920,7019 Gray Spur Apt. 590,Lopezview,10940,DE,829-23-2572,VISA 16 digit,JKIB8593812977515,3232.6,22.83
0b31bf9499d19c2f69d5f688c1f9cf0c,Monica,Rios,11/12/2017,632 Kaitlyn Plains Apt. 448,Port Michaelfort,36034,OH,207-13-0168,JCB 15 digit,MRZB5471006980652,797.54,4.59
aa363095e7d3f8580dc8c289339fe551,John,Blackburn,03/18/2005,46531 Nelson Crescent Apt. 808,Anthonyport,42113,TX,642-87-3321,VISA 16 digit,FJOK2481192636804,2746.77,13.01
5a19596c8997d7914e0614303d5319fb,Michelle,Thomas,11/14/2015,509 Hahn Plains Apt. 387,Wilsonmouth,88912,OK,350-56-5384,Diners Club / Carte Blanche,URBG8526602094582,6554.78,42.95
d3a4077c139299750aaeb122e4db2ce2,Linda,Ruiz,02/13/1960,5356 Hayley Ports,Blackwelltown,84852,LA,091-26-6251,VISA 19 digit,MZHQ9577180076393,5832.62,34.89
13a2ea291de3e71609bb6eae7aefdc6d,Thomas,Hernandez,06/05/2013,486 Wallace Canyon Suite 729,New Michael,57012,TN,754-97-6701,VISA 13 digit,JMMU7110568314070,1097.77,4.82
ffda66e12dd52ef945828028ca69ea47,Lisa,Rodriguez,10/24/1920,2578 Mark Courts,New Shannon,98618,IN,653-03-1035,JCB 16 digit,JZMW5680873301625,7235.28,51.78
f029c41a56defb76747fb23e22e6b52e,Kelli,Gillespie,07/03/1933,783 Garcia Lock,Vargasstad,84311,AK,808-02-7777,JCB 15 digit,FYWB3490916355516,3515.18,18.29
38696b0b84d0917273e3d14f4f80c547,Julie,Smith,05/06/1908,8877 Nancy Island,Toddfurt,77693,NJ,559-96-5387,JCB 16 digit,HVKW5690857447287,469.19,2.8
9fdbc45f1ac9bd24b64a166ac465915e,Danielle,Jenkins,01/29/1962,26689 Jennifer Meadows,South Douglas,37687,SD,667-41-8287,VISA 16 digit,TCJC8615491420002,5350.77,26.98
b87cf2c5a1871471e91b9687ea2a5e74,Michael,Wilson,06/30/1968,99751 Matthew Ramp,Brandyfurt,35211,TX,293-19-7277,JCB 16 digit,MHFP3832064086314,3987.93,24.1
259da3d641537a1dbe2326d37b80f5b9,Clinton,Holmes,12/14/1926,268 Alexander Harbors,Port Benjamin,31384,ND,787-07-1434,VISA 19 digit,QKZR0783304890482,2637.84,17.63
